context_h,horizon_h,n_features,pos_rate,auc,floor,captured,folds,note
1,6,133,0.2513812154696133,0.5309252653210499,0.5423400390266686,-0.024941604420326113,4,
1,24,133,0.6505524861878453,0.49429185831941425,0.5470165768100974,-0.11639436630902843,4,
1,72,133,0.9622467771639043,,,,0,unusable positive rate
6,6,397,0.2513812154696133,0.5151795813325732,0.5423400390266686,-0.05934637069043942,4,
6,24,397,0.6505524861878453,0.5084166596916223,0.5470165768100974,-0.08521264828336333,4,
6,72,397,0.9622467771639043,,,,0,unusable positive rate
24,6,397,0.2513812154696133,0.4964523236468727,0.5423400390266686,-0.10026596008574555,4,
24,24,397,0.6505524861878453,0.5291133714361465,0.5470165768100974,-0.03952287094277501,4,
24,72,397,0.9622467771639043,,,,0,unusable positive rate
72,6,397,0.2513812154696133,0.4929549962555617,0.5423400390266686,-0.10790771966609645,4,
72,24,397,0.6505524861878453,0.4419530652341247,0.5470165768100974,-0.23193676897957327,4,
72,72,397,0.9622467771639043,,,,0,unusable positive rate
168,6,397,0.2513812154696133,0.497439835286521,0.5423400390266686,-0.09810821913425805,4,
168,24,397,0.6505524861878453,0.5241010079890397,0.5470165768100974,-0.05058809582851095,4,
168,72,397,0.9622467771639043,,,,0,unusable positive rate
