context_h,horizon_h,n_features,pos_rate,auc,floor,captured,folds,note
1,6,133,0.39917127071823205,0.5705234819715733,0.57095619615933,-0.0010085547999602222,4,
1,24,133,0.8469152854511971,0.5292483197739755,0.6082852864778112,-0.20177175882202006,4,
1,72,133,0.9976979742173112,,,,0,unusable positive rate
6,6,397,0.39917127071823205,0.48191535924888534,0.57095619615933,-0.20753320782954587,4,
6,24,397,0.8469152854511971,0.5065266312663538,0.6082852864778112,-0.2597774648199251,4,
6,72,397,0.9976979742173112,,,,0,unusable positive rate
24,6,397,0.39917127071823205,0.4966209776175987,0.57095619615933,-0.17325787687948171,4,
24,24,397,0.8469152854511971,0.5042348158536729,0.6082852864778112,-0.2656281907017116,4,
24,72,397,0.9976979742173112,,,,0,unusable positive rate
72,6,397,0.39917127071823205,0.5346432714696325,0.57095619615933,-0.08463687009259942,4,
72,24,397,0.8469152854511971,0.5235240816914839,0.6082852864778112,-0.21638504212460732,4,
72,72,397,0.9976979742173112,,,,0,unusable positive rate
168,6,397,0.39917127071823205,0.4842665372735819,0.57095619615933,-0.20205316592321954,4,
168,24,397,0.8469152854511971,0.6080106369771354,0.6082852864778112,-0.000701146756031253,4,
168,72,397,0.9976979742173112,,,,0,unusable positive rate
