context_h,horizon_h,n_features,pos_rate,auc,floor,captured,folds,note
1,6,133,0.39917127071823205,0.5234557992012464,0.5673282029075231,-0.10139880621084162,4,
1,24,133,0.8471454880294659,0.5319983959722528,0.6089934580619912,-0.19691502272088685,4,
1,72,133,0.9976979742173112,,,,0,unusable positive rate
6,6,397,0.39917127071823205,0.5384250441310636,0.5673282029075231,-0.06680157794126301,4,
6,24,397,0.8471454880294659,0.5208541212191873,0.6089934580619912,-0.225416527319325,4,
6,72,397,0.9976979742173112,,,,0,unusable positive rate
24,6,397,0.39917127071823205,0.48566443196970377,0.5673282029075231,-0.1887429952370224,4,
24,24,397,0.8471454880294659,0.5622732618960171,0.6089934580619912,-0.11948699357920528,4,
24,72,397,0.9976979742173112,,,,0,unusable positive rate
72,6,397,0.39917127071823205,0.49698368831329576,0.5673282029075231,-0.1625816960267282,4,
72,24,397,0.8471454880294659,0.48442776629820017,0.6089934580619912,-0.3185770016695527,4,
72,72,397,0.9976979742173112,,,,0,unusable positive rate
168,6,397,0.39917127071823205,0.46724690837483956,0.5673282029075231,-0.23130995642707133,4,
168,24,397,0.8471454880294659,0.5702120174752979,0.6089934580619912,-0.09918361057202418,4,
168,72,397,0.9976979742173112,,,,0,unusable positive rate
