seed,level,region,n,positive_rate,auc,acc,mcc
42,window,pooled,2414,0.589,0.7398,0.6632,0.3398
43,window,pooled,2414,0.589,0.7229,0.6508,0.3372
44,window,pooled,2414,0.589,0.7366,0.6587,0.3367
42,window,AEGEAN,1129,,0.8010,0.7422,0.3320
43,window,AEGEAN,1129,,0.7813,0.7166,0.3166
44,window,AEGEAN,1129,,0.7996,0.7343,0.3139
42,window,CENTRAL,142,,0.5248,0.8169,-0.0389
43,window,CENTRAL,142,,0.3617,0.8239,
44,window,CENTRAL,142,,0.3515,0.8169,-0.0389
42,window,EAFZ,823,,0.5618,0.5577,0.1126
43,window,EAFZ,823,,0.5621,0.5638,0.1291
44,window,EAFZ,823,,0.5704,0.5553,0.1079
42,window,NAFZ,320,,0.5319,0.5875,-0.0871
43,window,NAFZ,320,,0.4717,0.5656,-0.1290
44,window,NAFZ,320,,0.4711,0.5875,-0.0957
42,block,AEGEAN,27,0.630,0.7235,0.6296,
43,block,AEGEAN,27,0.630,0.5941,0.5185,
44,block,AEGEAN,27,0.630,0.6471,0.5556,
42,block,CENTRAL,23,0.174,0.3816,0.7826,
43,block,CENTRAL,23,0.174,0.1447,0.8261,
44,block,CENTRAL,23,0.174,0.1842,0.8261,
42,block,EAFZ,28,0.393,0.5348,0.5357,
43,block,EAFZ,28,0.393,0.4332,0.5714,
44,block,EAFZ,28,0.393,0.4920,0.5714,
42,block,NAFZ,26,0.346,0.4052,0.6538,
43,block,NAFZ,26,0.346,0.3922,0.6538,
44,block,NAFZ,26,0.346,0.3725,0.6538,
