seed,model,channels,window_seconds,hop_length,aux_mode,grouping,partition_seed,MAE,RMSE,R2
42,single-channel,image+aux,3,64,averaged,event,,0.204,0.274,0.665
43,single-channel,image+aux,3,64,averaged,event,,0.206,0.280,0.649
44,single-channel,image+aux,3,64,averaged,event,,0.204,0.275,0.661
42,dual-channel,all,3,64,averaged,event,,0.202,0.279,0.651
43,dual-channel,all,3,64,averaged,event,,0.203,0.280,0.649
44,dual-channel,all,3,64,averaged,event,,0.202,0.278,0.655
42,dual-channel,2d+aux,3,64,averaged,event,,0.197,0.271,0.671
43,dual-channel,2d+aux,3,64,averaged,event,,0.197,0.272,0.669
44,dual-channel,2d+aux,3,64,averaged,event,,0.198,0.273,0.666
42,dual-channel,1d+aux,3,64,averaged,event,,0.250,0.353,0.444
42,dual-channel,2d+aux,3,32,averaged,event,,0.195,0.269,0.676
43,dual-channel,2d+aux,3,32,averaged,event,,0.196,0.271,0.673
44,dual-channel,2d+aux,3,32,averaged,event,,0.197,0.272,0.669
42,dual-channel,2d+aux,3,16,averaged,event,,0.197,0.273,0.668
42,dual-channel,2d+aux,3,32,per-component,event,,0.196,0.272,0.670
42,dual-channel,all,3,32,per-component,event,,0.205,0.281,0.647
42,dual-channel,2d+aux,6,64,averaged,event,,0.182,0.254,0.741
43,dual-channel,2d+aux,6,64,averaged,event,,0.182,0.252,0.746
44,dual-channel,2d+aux,6,64,averaged,event,,0.181,0.252,0.745
42,dual-channel,all,6,64,averaged,event,,0.189,0.263,0.723
42,dual-channel,2d+aux,3,64,averaged,station,42,0.215,0.289,0.564
42,dual-channel,2d+aux,3,64,averaged,both,42,0.230,0.316,0.473
42,dual-channel,2d+aux,3,64,averaged,both,43,0.247,0.344,0.433
42,dual-channel,2d+aux,3,64,averaged,both,44,0.201,0.265,0.802
42,dual-channel,2d+aux,6,64,averaged,station,42,0.215,0.286,0.712
42,dual-channel,2d+aux,6,64,averaged,both,42,0.195,0.253,0.811
42,dual-channel,2d+aux,6,64,averaged,both,43,0.236,0.321,0.578
42,dual-channel,2d+aux,6,64,averaged,both,44,0.222,0.303,0.645
